date,5. volume,4. close,2. high,1. open,3. low
2018-11-12 09:31:00,0.0,6.5,6.5,6.5,6.5
2018-11-12 09:49:00,650.0,6.26,6.26,6.2401,6.2401
2018-11-12 11:21:00,800.0,6.415,6.415,6.415,6.415
2018-11-12 11:39:00,600.0,6.41,6.41,6.41,6.41
2018-11-12 11:54:00,147.0,6.2813,6.2813,6.2813,6.2813
2018-11-12 12:10:00,2517.0,6.48,6.48,6.48,6.48
2018-11-12 12:12:00,200.0,6.5,6.5,6.5,6.5
2018-11-12 12:41:00,1236.0,6.55,6.55,6.55,6.55
2018-11-12 13:08:00,1420.0,6.55,6.55,6.55,6.55
2018-11-12 14:02:00,400.0,6.61,6.61,6.61,6.61
2018-11-12 14:05:00,200.0,6.61,6.61,6.61,6.61
2018-11-12 14:09:00,300.0,6.5948,6.5948,6.5948,6.5948
2018-11-12 14:27:00,150.0,6.6,6.6,6.6,6.6
2018-11-12 14:53:00,582.0,6.605,6.605,6.605,6.605
2018-11-12 15:00:00,216.0,6.58,6.58,6.58,6.58
2018-11-13 09:31:00,0.0,6.5,6.5,6.5,6.5
2018-11-13 09:35:00,158.0,6.73,6.73,6.73,6.73
2018-11-13 11:37:00,1442.0,6.68,6.68,6.68,6.68
2018-11-13 11:55:00,1300.0,6.69,6.69,6.69,6.69
2018-11-13 12:17:00,100.0,6.5632,6.5632,6.5632,6.5632
2018-11-13 12:44:00,100.0,6.56,6.56,6.56,6.56
2018-11-13 13:03:00,2181.0,6.56,6.56,6.56,6.56
2018-11-13 13:49:00,300.0,6.56,6.56,6.56,6.56
2018-11-13 13:53:00,185.0,6.5,6.5,6.5,6.5
2018-11-13 13:58:00,107.0,6.42,6.42,6.42,6.42
2018-11-13 15:02:00,241.0,6.36,6.36,6.36,6.36
2018-11-13 15:10:00,100.0,6.31,6.31,6.31,6.31
2018-11-13 15:15:00,100.0,6.18,6.18,6.18,6.18
2018-11-13 15:21:00,100.0,6.17,6.17,6.17,6.17
2018-11-13 15:45:00,114.0,6.14,6.14,6.14,6.14
2018-11-14 09:31:00,0.0,6.24,6.24,6.24,6.24
2018-11-14 10:43:00,506.0,6.3,6.3,6.3,6.3
2018-11-14 10:58:00,100.0,6.3,6.3,6.3,6.3
2018-11-14 10:59:00,438.0,6.3,6.3,6.3,6.3
2018-11-14 11:00:00,128.0,6.3,6.3,6.3,6.3
2018-11-14 11:01:00,136.0,6.3,6.3,6.3,6.3
2018-11-14 11:02:00,100.0,6.3,6.3,6.3,6.3
2018-11-14 11:03:00,353.0,6.3,6.3,6.3,6.3
2018-11-14 11:05:00,147.0,6.3,6.3,6.3,6.3
2018-11-14 11:06:00,100.0,6.3,6.3,6.3,6.3
2018-11-14 11:08:00,1964.0,6.28,6.28,6.28,6.28
2018-11-14 11:09:00,100.0,6.28,6.28,6.28,6.28
2018-11-14 11:11:00,435.0,6.21,6.21,6.21,6.21
2018-11-14 11:16:00,500.0,6.24,6.24,6.24,6.24
2018-11-14 13:00:00,2531.0,6.17,6.17,6.17,6.17
2018-11-14 13:09:00,105.0,6.2,6.2,6.2,6.2
2018-11-14 13:32:00,300.0,6.1001,6.1001,6.1001,6.1001
2018-11-14 13:52:00,145.0,6.17,6.17,6.17,6.17
2018-11-14 13:54:00,205.0,6.15,6.15,6.15,6.15
2018-11-14 15:30:00,302.0,6.03,6.03,6.03,6.03
2018-11-15 09:31:00,0.0,5.87,5.87,5.87,5.87
2018-11-15 09:47:00,245.0,5.9,5.9,5.9,5.9
2018-11-15 10:18:00,736.0,6.07,6.07,6.02,6.02
2018-11-15 10:45:00,520.0,6.15,6.15,6.15,6.15
2018-11-15 11:06:00,340.0,6.13,6.13,6.13,6.13
2018-11-15 11:55:00,268.0,6.2,6.2,6.2,6.2
2018-11-15 12:09:00,1283.0,6.3089,6.3089,6.3089,6.3089
2018-11-15 12:33:00,2000.0,6.3,6.3,6.3,6.3
2018-11-15 12:38:00,200.0,6.3,6.3,6.3,6.3
2018-11-15 12:40:00,1160.0,6.3,6.3,6.3,6.3
2018-11-15 12:56:00,100.0,6.25,6.25,6.25,6.25
2018-11-15 12:58:00,100.0,6.29,6.29,6.29,6.29
